,MHdays,Discrim2,Insecurity2,EthRace5_2022,BIPOCAI,Gender3,Gender2,TransGender
1,7,0,5,5,white,1,MaleFemale,0
2,3,,0,,BIPOC/AI,2,MaleFemale,0
3,15,,3,5,white,2,MaleFemale,0
4,10,0,1,3,BIPOC/AI,2,MaleFemale,0
5,10,0,2,5,white,2,MaleFemale,0
6,1,,0,5,white,1,MaleFemale,0
7,4,0,2,5,white,2,MaleFemale,0
8,2,0,10,5,white,2,MaleFemale,0
9,5,0,4,3,BIPOC/AI,2,MaleFemale,0
10,4,,2,,BIPOC/AI,1,MaleFemale,0
11,5,0,4,5,white,1,MaleFemale,0
12,10,0,2,5,white,1,MaleFemale,0
13,5,,3,1,BIPOC/AI,1,MaleFemale,0
14,15,,2,5,white,2,MaleFemale,0
15,1,0,3,2,BIPOC/AI,2,MaleFemale,0
16,10,0,3,5,white,2,MaleFemale,0
17,3,,4,5,white,2,MaleFemale,0
18,2,,0,5,white,1,MaleFemale,0
19,3,,4,5,white,2,MaleFemale,0
20,2,0,3,5,white,2,MaleFemale,0
21,10,0,4,5,white,2,MaleFemale,0
22,2,,3,5,white,1,MaleFemale,0
23,30,1,7,5,white,2,MaleFemale,0
24,3,0,4,5,white,2,MaleFemale,0
25,5,0,8,2,BIPOC/AI,2,MaleFemale,0
26,20,,4,5,white,2,MaleFemale,0
27,2,0,1,5,white,1,MaleFemale,0
28,5,0,0,5,white,2,MaleFemale,0
29,3,0,2,5,white,2,MaleFemale,0
30,1,0,5,5,white,1,MaleFemale,0
31,3,0,3,5,white,2,MaleFemale,0
32,15,0,0,5,white,1,MaleFemale,0
33,1,0,1,5,white,2,MaleFemale,0
34,5,,2,3,BIPOC/AI,2,MaleFemale,0
35,10,,4,5,white,2,MaleFemale,0
36,2,,2,5,white,2,MaleFemale,0
37,7,0,7,5,white,1,MaleFemale,0
38,2,0,2,5,white,2,MaleFemale,0
39,3,0,2,5,white,2,MaleFemale,0
40,3,0,3,5,white,2,MaleFemale,0
41,2,0,1,5,white,2,MaleFemale,0
42,20,0,,5,white,2,MaleFemale,0
43,7,0,1,5,white,1,MaleFemale,0
44,5,0,4,2,BIPOC/AI,2,MaleFemale,0
45,1,,2,5,white,2,MaleFemale,0
46,2,0,8,5,white,2,MaleFemale,0
47,3,0,7,5,white,2,MaleFemale,0
48,2,,4,5,white,2,MaleFemale,0
49,7,0,6,2,BIPOC/AI,1,MaleFemale,0
50,1,,2,5,white,2,MaleFemale,0
51,2,0,2,5,white,2,MaleFemale,0
52,1,0,2,5,white,1,MaleFemale,0
53,2,0,1,5,white,2,MaleFemale,0
54,8,0,2,5,white,2,MaleFemale,0
55,15,0,3,5,white,2,MaleFemale,0
56,2,0,2,,BIPOC/AI,2,MaleFemale,0
57,12,,3,5,white,2,MaleFemale,0
58,29,,8,5,white,2,MaleFemale,0
59,5,,6,5,white,2,MaleFemale,0
60,4,,3,5,white,2,MaleFemale,0
61,7,,1,5,white,1,MaleFemale,0
62,3,0,3,3,BIPOC/AI,2,MaleFemale,0
63,5,1,14,5,white,2,MaleFemale,0
64,3,,5,3,BIPOC/AI,2,MaleFemale,0
65,5,0,5,5,white,1,MaleFemale,0
66,6,,0,5,white,2,MaleFemale,0
67,20,,8,5,white,2,MaleFemale,0
68,10,0,2,5,white,2,MaleFemale,0
69,7,0,0,,BIPOC/AI,2,MaleFemale,0
70,7,0,3,5,white,2,MaleFemale,0
71,20,,8,5,white,3,AgenderNonbinaryGenderQueer,0
72,3,,6,5,white,2,MaleFemale,0
73,22,1,5,3,BIPOC/AI,2,MaleFemale,0
74,5,0,2,5,white,1,MaleFemale,0
75,3,,1,5,white,2,MaleFemale,0
76,20,0,2,5,white,1,MaleFemale,0
77,5,,3,5,white,2,MaleFemale,0
78,3,0,,5,white,2,MaleFemale,0
79,2,0,3,5,white,2,MaleFemale,0
80,10,0,7,1,BIPOC/AI,2,MaleFemale,0
81,20,0,1,5,white,1,MaleFemale,0
82,1,,4,3,BIPOC/AI,1,MaleFemale,0
83,1,,2,5,white,1,MaleFemale,0
84,10,1,1,5,white,2,MaleFemale,0
85,5,0,4,5,white,2,MaleFemale,0
86,1,0,1,5,white,1,MaleFemale,0
87,20,0,2,5,white,2,MaleFemale,0
88,2,,1,5,white,1,MaleFemale,0
89,7,,3,5,white,1,MaleFemale,0
90,5,,3,5,white,2,MaleFemale,0
91,15,0,8,5,white,2,MaleFemale,0
92,5,,4,5,white,2,MaleFemale,0
93,7,,0,5,white,1,MaleFemale,0
94,2,0,1,5,white,2,MaleFemale,0
95,12,0,6,5,white,2,MaleFemale,0
96,15,0,4,5,white,1,MaleFemale,0
98,10,,4,5,white,2,MaleFemale,0
100,2,,0,5,white,2,MaleFemale,0
101,7,0,0,5,white,2,MaleFemale,0
102,2,0,3,5,white,2,MaleFemale,0
103,4,0,3,5,white,1,MaleFemale,0
104,3,0,2,5,white,2,MaleFemale,0
105,6,0,0,5,white,1,MaleFemale,0
106,2,,3,5,white,1,MaleFemale,0
107,20,,1,5,white,2,MaleFemale,0
108,20,1,13,5,white,2,MaleFemale,0
109,2,,5,5,white,2,MaleFemale,0
110,15,0,3,5,white,2,MaleFemale,0
112,30,,3,5,white,2,MaleFemale,0
113,10,,2,5,white,1,MaleFemale,0
114,1,0,2,5,white,1,MaleFemale,0
115,7,,6,2,BIPOC/AI,2,MaleFemale,0
116,2,,1,5,white,2,MaleFemale,0
117,5,0,2,5,white,2,MaleFemale,0
118,4,0,1,5,white,2,MaleFemale,0
119,5,0,4,5,white,2,MaleFemale,0
120,2,0,1,5,white,1,MaleFemale,0
121,3,0,1,5,white,1,MaleFemale,0
122,4,0,3,5,white,2,MaleFemale,0
123,1,0,1,5,white,2,MaleFemale,0
124,3,0,1,5,white,2,MaleFemale,0
125,3,,5,,BIPOC/AI,2,MaleFemale,0
126,10,0,3,5,white,2,MaleFemale,0
127,6,0,2,5,white,2,MaleFemale,0
128,1,0,2,5,white,2,MaleFemale,0
129,2,,1,5,white,1,MaleFemale,0
130,5,0,3,4,BIPOC/AI,2,MaleFemale,0
131,25,,11,,BIPOC/AI,2,MaleFemale,0
132,5,0,0,5,white,2,MaleFemale,0
133,20,0,0,5,white,2,MaleFemale,0
134,7,,6,5,white,1,MaleFemale,0
135,5,0,2,5,white,2,MaleFemale,0
136,30,1,6,3,BIPOC/AI,2,MaleFemale,0
137,5,0,0,5,white,2,MaleFemale,0
138,8,0,2,5,white,2,MaleFemale,0
139,10,0,1,5,white,2,MaleFemale,0
140,5,0,3,5,white,2,MaleFemale,0
141,5,,8,5,white,2,MaleFemale,0
142,2,0,0,5,white,2,MaleFemale,0
143,8,0,1,5,white,1,MaleFemale,0
144,10,,5,5,white,2,MaleFemale,0
145,15,,2,5,white,2,MaleFemale,0
146,18,0,2,5,white,2,MaleFemale,0
147,12,0,5,5,white,1,MaleFemale,0
148,5,0,3,5,white,1,MaleFemale,0
149,3,0,1,5,white,3,AgenderNonbinaryGenderQueer,1
150,1,0,2,5,white,2,MaleFemale,0
151,10,0,0,3,BIPOC/AI,1,MaleFemale,0
152,20,0,9,2,BIPOC/AI,2,MaleFemale,0
153,3,0,2,5,white,1,MaleFemale,0
154,1,0,1,5,white,2,MaleFemale,0
155,20,,3,5,white,2,MaleFemale,0
156,2,0,2,5,white,3,AgenderNonbinaryGenderQueer,0
