 ,totalmomsthisphase,died7,numdied,morbid,duration,csection,complicbefore,anemia,pairname,arm,referredout,literacy,highincome,factype,distance,numstaff,supplies,meds,baage,balasttrained,balasttrainedln,baexperience,baexperienceln,batrained,batypes,bascheduledbin,baobc,nurseonlybin,anmonlybin,anydocbin,scheduled,obc,meangravidaln,complicbeforeln,anemialn,csectionln,age35plus,ageunder25,died0sbrbaseline,meangravida,lucknow,anymatmort
100,1397,0.067663818,67.66381766,0.106657122,184.9460076,0,0,0.00071736,P2-P9,0,0.021337127,0.59,0,1,55,4,16.2,1.6,39.66666667,6.333333333,1.84582669,13.36111111,2.592348332,1,2,0,0,1,0,1,0.423049392,0.31424481,0.801503205,-7.60090246,-7.239932591,-7.60090246,0.050143266,0.365329513,0.036916395,2.228888889,1,0
101,1029,0.061895551,61.89555126,0.068093385,119.1537545,0,0.022110553,0.016080402,P2-P8,1,0.054158607,0.59,0,1,30,5,20.8,2.2,37.4,3.75,1.32175584,7.8,2.054123734,0.8,2,0,0.4,0,0,1,0.272108844,0.481049563,0.819131368,-3.811700284,-4.130154015,-7.60090246,0.016585366,0.231219512,0.04873477,2.268528464,1,1
102,1780,0.049637479,49.63747909,0.088251827,278.0438389,0,0.012359551,0.002247191,P2-P13,0,0.031790296,0.59,0,2,30,6,21.2,2.4,39.4,5.5,1.704748092,9.583333333,2.260025479,0.4,2,1,0.6,1,0,1,0.296629213,0.336516854,,-4.39332619,-6.098074282,-7.60090246,0.017987634,0.465430017,0.021459227,,1,1
110,1602,0.05259901,52.5990099,0.184259838,227.1547965,0,0.063085572,0.078076202,P2-P6,1,0.150371287,0.471,0,2,20,5,19.8,2.6,41.28571429,9,2.197224577,13.64285714,2.613216098,0.142857143,4,1,0.142857143,1,0,0,0.104868914,0.212234707,,-2.763263196,-2.550069976,-7.60090246,0.027465668,0.334581773,,,1,1
111,1813,0.056192035,56.19203492,0.219458264,145.5877863,0,0.125827815,0.033112583,P2-P10,1,0.199018539,0.471,0,2,25,4,23.4,2.6,37.8,,,10.8,2.379546134,0,2,0,0.8,1,0,0,0.022614451,0.165471594,0.920825887,-2.072840858,-3.407841924,-7.60090246,0.016013252,0.309221425,0.019214703,2.511363636,1,1
120,1199,0.027295285,27.29528536,0.095913261,230.4449378,0.01187447,0.02173913,0.004180602,P2-P6,0,0.050454921,0.751,1,2,22,6,21.4,2.6,40.625,3.166666667,1.15267951,13.25,2.583997552,0.75,3,1,0.625,1,0,1,0.369256475,0.355054302,0.82459485,-3.828641396,-5.477300022,-4.433364571,0.01754386,0.390142022,0.012627781,2.280956447,1,0
121,1310,0.034220532,34.22053232,0.142748092,205.168277,0.00311042,0.016706444,0.002386635,P2-P10,0,0.033460076,0.751,1,2,25,5,19.8,2.6,40,3.25,1.178654996,10.03787879,2.306365816,0.363636364,4,1,0.363636364,0,0,1,0.280152672,0.326717557,0.76506617,-4.091960771,-6.03787092,-5.772997544,0.026799387,0.290199081,0.015377222,2.149136578,1,0
122,1438,0.035961272,35.96127248,0.102992345,341.0080823,0.000712758,0.011453114,0.007158196,P2-P12,0,0.046896552,0.751,1,2,35,4,21,3,36.14285714,3,1.098612289,11.57142857,2.448539006,0.8,4,1,0.714285714,1,0,1,0.490959666,0.337273992,0.79739442,-4.469493637,-4.939497266,-7.24636808,0.01184669,0.416724739,0.008143322,2.219749652,1,0
123,2077,0.034433286,34.43328551,0.079074253,169.865642,0.014720314,0.026867628,0.019003932,P3-P32,1,0.094691535,0.751,1,2,30,4,23.4,3.2,35.57142857,4,1.386294361,8,2.079441542,1,3,0,0.428571429,1,0,1,0.348098219,0.448724121,0.753540187,-3.616833145,-3.963109382,-4.218526832,0.024509804,0.444607843,0.016745384,2.124507874,1,1
124,1250,0.038919778,38.9197776,0.121892542,225.3307224,0.000831255,0.017713366,0.005636071,P2-P13,1,0.055599682,0.751,1,2,40,5,20.6,2.4,41,5.666666667,1.734601055,11.44444444,2.437504411,0.5,1,1,0.333333333,1,0,1,0.411529223,0.333066453,0.799431706,-4.033435809,-5.178568113,-7.092573716,0.031476998,0.340597256,0.012550201,2.224276527,1,1
131,1286,0.057364341,57.36434109,0.150428683,271.3412698,0,0.090342679,0.015576324,P3-P36,1,0.120930233,0.563,0,1,20,3,21.8,3.4,36,1.5,0.405465108,11.14285714,2.410798678,0.285714286,2,0,0.571428571,1,0,0,0.369362364,0.395800933,0.781350216,-2.404145293,-4.162003211,-7.60090246,0.029733959,0.454616588,0.019623234,2.184419714,1,1
132,1297,0.066666667,66.66666667,0.135030864,191.4160584,0,0.049206349,0.031746032,P2-P5,1,0.153139357,0.563,0,2,11,4,21.6,3.2,29.66666667,4,1.386294361,4.333333333,1.466337069,0.666666667,1,1,0.666666667,1,0,1,0.3384734,0.457208944,0.812638159,-3.011732615,-3.449987546,-7.60090246,0.040310078,0.270542636,,2.253846154,1,1
133,1213,0.061324612,61.32461161,0.129644922,190.0401506,0,0.030025021,0.003336113,P2-P5,0,0.049877351,0.563,0,2,20,4,23.8,2.8,32.4,3.666666667,1.299282984,6.433333333,1.861492807,0.8,3,1,0.2,1,0,0,0.420445177,0.37510305,0.883557405,-3.505724217,-5.702948794,-7.60090246,0.029686175,0.332485157,,2.419491525,1,1
134,931,0.062699256,62.69925611,0.149462366,243.7312073,0,0.029032258,0.020430108,P3-P32,0,0.062699256,0.563,0,2,18,3,21.2,3.2,39.88888889,3.8,1.335001067,15.88888889,2.765620053,0.625,4,1,0.333333333,1,0,1,0.396348013,0.450053706,0.87933096,-3.53934772,-3.890745607,-7.60090246,0.021857923,0.326775956,0.019573978,2.409287257,1,1
141,645,0.043410853,43.41085271,0.086956522,220.3360656,0,0.001607717,0,P2-P12,1,0.061823802,0.583,0,2,30,5,20.2,1.8,47.83333333,3,1.098612289,22.16666667,3.098589659,0.333333333,4,0,0.333333333,0,1,0,0.255813953,0.437209302,0.779888834,-6.432940093,-7.60090246,-7.60090246,0.040310078,0.443410853,0.01659751,2.181229773,1,1
142,1228,0.05811138,58.11138015,0.140179299,248.063388,0,0.026058632,0.021986971,P2-P7,1,0.110573043,0.583,0,3,42,6,19.8,1.2,39.25,2,0.693147181,8.333333333,2.120263536,0.25,3,0,0.5,1,0,0,0.321661238,0.438110749,0.813745342,-3.647406206,-3.817305243,-7.60090246,0.005342832,0.366874443,0.043782837,2.256342957,1,1
143,1311,0.052352049,52.35204856,0.079328757,339.5979463,0,0.001545595,0.000772798,P2-P9,1,0.021228203,0.583,0,1,19,3,21.4,2,44.6,1.5,0.405465108,21.2,3.054001182,0.4,4,0,0.4,0,1,0,0.257055683,0.256292906,0.752517476,-6.472346295,-7.165493475,-7.60090246,0.005339436,0.377574371,0.016517225,2.122336227,1,0
